"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
14375, 1.572144975000000e-03, 4.734726132000000e-03, 1.235731225535348e-01, -5.008153585408373e+00, 1.340799335920239e-04, 2.100016304222392e-04, -8.952666465841020e-08
14376, 1.329618085000000e-03, 4.338984168000000e-03, 1.240221854535018e-01, -5.005587511694276e+00, 1.179894690307218e-04, 2.004522627033886e-04, -7.812846847996878e-08
14377, 1.111558135000000e-03, 3.952235330000000e-03, 1.244256776922780e-01, -5.003281841758411e+00, 1.037738383300362e-04, 1.922432376629888e-04, -6.901255160229793e-08
14378, 9.162638187000000e-04, 3.573236618000000e-03, 1.247965378939482e-01, -5.001162640606011e+00, 9.077899213703559e-05, 1.849907391676412e-04, -6.146634779801989e-08
14379, 7.426809983999999e-04, 3.200532182000000e-03, 1.251465325151144e-01, -4.999162671342203e+00, 7.825785695483346e-05, 1.774667454029534e-04, -5.446798790883159e-08
14380, 5.897076844000000e-04, 2.832699417000000e-03, 1.254717118342081e-01, -4.997304503804525e+00, 6.613911948333540e-05, 1.689149332482781e-04, -4.765858014641572e-08
14381, 4.558697021000000e-04, 2.468035116000000e-03, 1.257774047230058e-01, -4.995557687297110e+00, 5.442770805758657e-05, 1.592609257086554e-04, -4.099996699450507e-08
14382, 3.410580531000000e-04, 2.105125689000000e-03, 1.260630702506546e-01, -4.993925312853403e+00, 4.314783828124609e-05, 1.477325060455056e-04, -3.439886710172196e-08
14383, 2.439479020000000e-04, 1.742442830000000e-03, 1.263232173754603e-01, -4.992438757854513e+00, 3.263624935450873e-05, 1.340614237259773e-04, -2.767276455005398e-08
14384, 1.640573175000000e-04, 1.378051620000000e-03, 1.265534283199617e-01, -4.991123266743076e+00, 2.331927450825771e-05, 1.185410026445311e-04, -2.117275147063866e-08
14385, 1.000718844000000e-04, 1.011064700000000e-03, 1.267468882250789e-01, -4.990017781570979e+00, 1.566159849614763e-05, 1.024716473739614e-04, -1.549057072329757e-08
14386, 5.107957599000000e-05, 6.388540667000000e-04, 1.269215836743280e-01, -4.989019521860983e+00, 9.337874367219821e-06, 8.629038651384398e-05, -1.077564282918512e-08
14387, 1.880000525000000e-05, 2.600391894000000e-04, 1.270183188361856e-01, -4.988466749507511e+00, 5.175129758773512e-06, 7.687191213861785e-05, -8.202376590845661e-09
14388, -6.187699204000000e-07, -1.290785050000000e-04, 1.271807482036568e-01, -4.987538581693389e+00, -3.545798498354260e-06, 6.211311592437144e-05, -5.373562396392272e-09
14389, 6.314103944000000e-05, -5.166997590000000e-04, 1.272866400798415e-01, -4.986933485258048e+00, -1.934606488848900e-05, 7.506604412403714e-05, -7.823062742656055e-09
14390, 1.999079799000000e-04, -9.071566277000001e-04, 1.272792706009351e-01, -4.986975596566085e+00, 4.061962829890345e-06, -1.096155745558954e-05, -7.717946672366591e-10
14214, 3.318146791000000e-02, -4.535198877000000e-02, 1.015482101103897e-01, -5.134010227940630e+00, 2.655640302420900e-04, -7.121940265370834e-04, -8.120397034692347e-07
14215, 3.345581210000000e-02, -4.608710924000000e-02, 1.002552620750480e-01, -5.141398502428297e+00, 2.573853095718169e-04, -6.920157352341048e-04, -7.616528787202485e-07
14216, 3.371614622000000e-02, -4.678954480000000e-02, 9.900674292717568e-02, -5.148532897558996e+00, 2.587313050189749e-04, -7.030154003872598e-04, -7.854990147533530e-07
14217, 3.396029475000000e-02, -4.745787136000000e-02, 9.762575768916662e-02, -5.156424241776191e+00, 2.687564246471439e-04, -7.405398930364825e-04, -8.718741631183007e-07
14218, 3.418807881000000e-02, -4.808992268000000e-02, 9.605267605974585e-02, -5.165413279658595e+00, 2.843152116766870e-04, -7.913113972323039e-04, -9.978346223573721e-07
14219, 3.440051978000000e-02, -4.868311387000000e-02, 9.448788793606588e-02, -5.174354926079624e+00, 3.075853268484851e-04, -8.577021454934026e-04, -1.184979306510737e-06
14220, 3.459866891000000e-02, -4.923485379000000e-02, 9.300951337883297e-02, -5.182802780692383e+00, 3.304037732779438e-04, -9.145616228212230e-04, -1.345638959416630e-06
14221, 3.478329900000000e-02, -4.974265136000000e-02, 9.145614848184645e-02, -5.191679151532306e+00, 3.458434836883182e-04, -9.430347861321397e-04, -1.438646353549075e-06
14222, 3.495421664000000e-02, -5.020434980000000e-02, 9.028760919575390e-02, -5.198356518881407e+00, 3.539974883034146e-04, -9.501600686454848e-04, -1.465587523267314e-06
14223, 3.510957282000000e-02, -5.061839869000000e-02, 8.906789928478463e-02, -5.205326289801230e+00, 3.472964411875023e-04, -9.242758413126139e-04, -1.394349694186903e-06
14224, 3.524697146000000e-02, -5.098347154000000e-02, 8.794308460982797e-02, -5.211753802229555e+00, 3.526015526604572e-04, -9.394309990766566e-04, -1.434135871832045e-06
